respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.239456475,0.085882094
26708,0.02964298,0.018927994
26709,0.6818377,0.438363639
26710,0.868842884,0.464630443
26711,0.485714112,0.236856358
26712,0.917976455,0.434002045
26713,0.490880377,0.343328876
26714,0.320389493,0.158479342
26715,0.173764809,0.036734483
26716,0.866524933,0.204909302
26717,0.353618287,0.018710973
26718,0.400687199,0.212014127
26719,0.92188654,0.095490087
26720,0.146863889,0.075234539
26721,0.373827282,0.245660759
26722,0.088126557,0.051973472
26723,0.831522992,0.638391986
26724,0.675677144,0.127375723
26725,0.128332756,0.057811987
26726,0.050360698,0.023468666
26727,0.796000744,0.352307718
26728,0.556491007,0.25073542
26729,0.278270819,0.072199776
26730,0.252289995,0.054708685
26731,0.304838385,0.0193703
26732,0.1113876,0.13193405
26733,0.960561447,0.912166672
26734,0.407283515,0.885230446
26735,0.445227316,0.16570027
26736,0.156738745,0.077752889
26737,0.142949988,0.085352421
26738,0.873171233,0.643651993
26739,0.216704232,0.112201373
26740,0.146387325,0.170089946
26741,0.910962641,0.166947556
26742,0.531586231,0.156468335
26743,0.468466914,0.043070809
26744,0.588442667,0.061310564
26745,0.90222344,0.081040739
26746,0.382303176,0.138684156
26747,0.328739434,0.089126121
26748,0.075666715,0.1148967
26749,0.70010434,0.079384567
26750,0.896466579,0.653407339
26751,0.71098425,0.32459882
26752,0.023700724,0.026087788
26753,0.642178603,0.21174035
26754,0.502103887,0.08813455
26755,0.315176462,0.108897348
26756,0.034340484,0.016627235
26757,0.499818568,0.454061913
26758,0.888805077,0.630545881
26759,0.191011161,0.034340911
26760,0.019486588,0.010926717
26761,0.541085485,0.147807238
26762,0.843261618,0.18784108
26763,0.98334817,0.906590455
26764,0.963158087,0.928692953
26765,0.680513925,0.026199949
26766,0.15226905,0.156174241
26767,0.699153784,0.768194121
26768,0.383343097,0.012655304
26769,0.155820744,0.135711279
26770,0.669562655,0.118125394
26771,0.161387668,0.059227342
26772,0.389359445,0.086893966
26773,0.394899237,0.011887605
26774,0.514517823,0.027292246
26775,0.526707694,0.109345755
26776,0.310811691,0.371059909
26777,0.925488989,0.131818306
26778,0.103939381,0.055880614
26779,0.474067234,0.11568972
26780,0.948142728,0.147054599
26781,0.4053629,0.042420878
26782,0.349808191,0.052731479
26783,0.389148998,0.066358623
26784,0.902437075,0.379792081
26785,0.586209049,0.401029659
26786,0.260003007,0.114826763
26787,0.471561376,0.112411696
26788,0.91805792,0.095873152
26789,0.283337922,0.013311587
26790,0.305440158,0.060372332
26791,0.053579989,0.018401075
26792,0.780671781,0.212140995
26793,0.883628957,0.100274709
26794,0.90115162,0.775416005
26795,0.938523871,0.046191563
26796,0.077273988,0.057715227
26797,0.605476547,0.086039852
26798,0.168878289,0.185481876
26799,0.239924019,0.307720138
26800,0.923349759,0.040004996
26801,0.306622916,0.257828613
26802,0.241948295,0.115861002
26803,0.152688459,0.058843778
26804,0.064123382,0.020008358
26805,0.158071241,0.0308299
26806,0.861644579,0.054500789
26807,0.943359571,0.627558938
26808,0.678427773,0.308205127
26809,0.108328259,0.519337336
26810,0.059897225,0.011358772
26811,0.052765893,0.051025273
26812,0.730332354,0.155976571
26813,0.293307316,0.342528897
26814,0.423037895,0.032718677
26815,0.173816388,0.064999198
26816,0.191933236,0.044473035
26817,0.752139844,0.163763086
26818,0.22105515,0.072099501
26819,0.441130777,0.422645513
26820,0.304836905,0.10480288
26821,0.466855028,0.106510918
26822,0.615016448,0.21150839
26823,0.520842707,0.451831472
26824,0.68042535,0.036868592
26825,0.740180863,0.38321524
26826,0.684921012,0.08715661
26827,0.086371951,0.023316196
26828,0.744887931,0.216154293
26829,0.9058713,0.591495135
26830,0.735017236,0.084811222
26831,0.786592066,0.18295795
26832,0.792199557,0.103319875
26833,0.338535117,0.008901271
26834,0.50835591,0.138539904
26835,0.879576109,0.333514554
26836,0.610943071,0.163886161
26837,0.015126046,0.049856155
26838,0.419801758,0.114989109
26839,0.563809392,0.13224429
26840,0.126314569,0.094956776
26841,0.809753507,0.333098313
26842,0.253680299,0.110337317
26843,0.017960455,0.046606829
26844,0.495882434,0.037755696
26845,0.647218979,0.051256802
26846,0.718465928,0.066568788
26847,0.081667634,0.344099235
26848,0.668421109,0.037080339
26849,0.638014726,0.168084413
26850,0.505099391,0.317913328
26851,0.052204185,0.03372846
26852,0.135449509,0.039923007
26853,0.475470624,0.45522137
26854,0.069042669,0.015845557
26855,0.881857376,0.582836756
26856,0.034144304,0.119707263
26857,0.207414535,0.474652947
26858,0.576922295,0.1124369
26859,0.136766005,0.085288266
26860,0.086735021,0.13141853
26861,0.076024532,0.058956893
26862,0.263055109,0.09707959
26863,0.431706103,0.2223229
26864,0.418482451,0.455565969
26865,0.034378367,0.014796395
26866,0.639782503,0.238654887
26867,0.165273247,0.106635409
26868,0.931772954,0.797405265
26869,0.441167091,0.128160138
26870,0.811476627,0.61477324
26871,0.038415315,0.050386132
26872,0.250859374,0.020749102
26873,0.860036506,0.160961813
26874,0.076942327,0.021081706
26875,0.926163435,0.579891286
26876,0.034877681,0.052085212
26877,0.160655701,0.085411798
26878,0.210855587,0.07745721
26879,0.040556389,0.019748663
26880,0.078840819,0.022811452
26881,0.127137397,0.032467183
26882,0.134739253,0.046684787
26883,0.365051987,0.111827032
26884,0.318444966,0.131450512
26885,0.856346614,0.280235374
26886,0.712305677,0.080157031
26887,0.874299834,0.647870857
26888,0.947855682,0.896405558
26889,0.159196678,0.057742192
26890,0.477153056,0.117994242
26891,0.533487321,0.374051854
26892,0.811158683,0.145892228
26893,0.220444915,0.065910033
26894,0.318525368,0.173742477
26895,0.848325199,0.092165434
26896,0.085868138,0.053128078
26897,0.338517613,0.053491871
26898,0.617311151,0.221021449
26899,0.076705593,0.052214646
26900,0.356791023,0.125413631
26901,0.319364281,0.00959096
26902,0.931943511,0.170703049
26903,0.039608406,0.097396392
26904,0.405534386,0.075180924
26905,0.752535584,0.304465066
26906,0.287207278,0.065809554
26907,0.565380274,0.011903181
26908,0.764512854,0.150502938
26909,0.239982685,0.066650355
26910,0.325879463,0.123913415
26911,0.129909401,0.078656956
26912,0.947202818,0.490914709
26913,0.859257949,0.747533273
26914,0.179542908,0.077166909
26915,0.751146638,0.158224897
26916,0.292415129,0.066610365
26917,0.022788288,0.009031086
26918,0.918349916,0.697237659
26919,0.687719378,0.359901296
26920,0.164739225,0.044510623
26921,0.874864172,0.150512603
26922,0.718479469,0.045901877
26923,0.464011034,0.079959083
26924,0.883564098,0.691888996
26925,0.581609595,0.144690625
26926,0.415966616,0.597318145
26927,0.63422258,0.307273073
26928,0.552247546,0.068996423
26929,0.138382501,0.091013195
26930,0.862249803,0.48743309
26931,0.448436822,0.117176008
26932,0.841969387,0.055879923
26933,0.766921016,0.06985298
26934,0.738049184,0.568225636
26935,0.548353546,0.151388872
26936,0.174495487,0.309019686
26937,0.660275535,0.245995911
26938,0.048201073,0.080746817
26939,0.026487369,0.024847267
26940,0.08897213,0.030518409
26941,0.374666496,0.05558802
26942,0.845966191,0.631199149
26943,0.67052759,0.131584285
26944,0.212246544,0.090748384
26945,0.525220063,0.113060646
26946,0.732119957,0.105088354
26947,0.678889646,0.229626573
26948,0.071026317,0.019993555
26949,0.024028121,0.006026131
26950,0.428720671,0.035938798
26951,0.333190491,0.087359886
26952,0.945127172,0.877664855
26953,0.968065488,0.756536982
26954,0.231004206,0.073516083
26955,0.60182824,0.166623984
26956,0.474985504,0.22300723
26957,0.876011609,0.027981074
26958,0.79816894,0.344780833
26959,0.191689872,0.042079351
26960,0.048763169,0.036439237
26961,0.519592904,0.199353407
26962,0.894489994,0.177064167
26963,0.276986987,0.140610848
26964,0.110345629,0.03561461
26965,0.953352207,0.810423532
26966,0.022500021,0.015416897
26967,0.559797366,0.229002068
26968,0.754598508,0.04052423
26969,0.187121511,0.037535555
26970,0.463334815,0.777763843
26971,0.330469314,0.084718856
26972,0.020646499,0.00754634
26973,0.101565231,0.056083131
26974,0.354088257,0.151975707
26975,0.591922654,0.065355181
26976,0.508392517,0.83881691
26977,0.297730571,0.05647104
26978,0.772294424,0.028060517
26979,0.696252925,0.375728579
26980,0.071198243,0.017137945
26981,0.363869153,0.075044795
26982,0.86069131,0.629678094
26983,0.52349714,0.148404499
26984,0.132733357,0.077117672
26985,0.093454099,0.023007299
26986,0.594946786,0.169211308
26987,0.143905036,0.054918498
26988,0.209678998,0.042524387
26989,0.791073027,0.318084317
26990,0.089208914,0.016403614
26991,0.50408115,0.314976432
26992,0.493756282,0.293806071
26993,0.793620215,0.133445253
26994,0.500397552,0.221025271
26995,0.573893944,0.167610806
26996,0.372725993,0.310213566
26997,0.062943839,0.018192566
26998,0.041154137,0.019995869
26999,0.428746223,0.344267939
27000,0.326793959,0.123142489
27001,0.70514846,0.036142886
27002,0.288049503,0.011505263
27003,0.080384054,0.032607596
27004,0.427016529,0.182934663
27005,0.684600526,0.317699551
27006,0.912883712,0.798636857
27007,0.184733122,0.072509058
27008,0.04129496,0.038906195
27009,0.28637782,0.083729776
27010,0.201943134,0.096263257
27011,0.180742823,0.117952956
27012,0.64776291,0.36990237
27013,0.375862595,0.118619154
27014,0.382622995,0.041520496
27015,0.288568328,0.117787012
27016,0.222474042,0.045002464
27017,0.792410915,0.449831467
27018,0.26822034,0.100535955
27019,0.966571743,0.892774674
27020,0.211239068,0.187631355
27021,0.5373453,0.150740587
27022,0.290339908,0.158029029
27023,0.08412999,0.051996492
27024,0.315805753,0.079967834
27025,0.02777169,0.060913591
27026,0.58196362,0.133702968
27027,0.678887414,0.088214267
27028,0.832903223,0.332010904
27029,0.259387371,0.064349286
27030,0.271910103,0.219113864
27031,0.831892874,0.188768498
27032,0.513007433,0.20294296
27033,0.729126044,0.310215014
27034,0.599216496,0.009103918
27035,0.280969777,0.129731754
27036,0.698379524,0.252114084
27037,0.791531181,0.622278813
27038,0.030339139,0.045837772
27039,0.895192017,0.720102727
27040,0.109439879,0.152856866
27041,0.477556177,0.101991464
27042,0.678051199,0.079703585
27043,0.820373197,0.510879326
27044,0.016715517,0.003331703
27045,0.640198374,0.146148035
27046,0.129162515,0.070627999
27047,0.426269146,0.58818863
27048,0.343387533,0.171957933
27049,0.900577551,0.270143815
27050,0.528341946,0.047087101
27051,0.469835547,0.207922884
27052,0.438699345,0.150836402
27053,0.956661837,0.859008673
27054,0.063857448,0.017239705
27055,0.860065664,0.077645747
27056,0.062986284,0.034198926
27057,0.038102984,0.026989206
27058,0.946149639,0.840916005
27059,0.303980832,0.077448289
27060,0.377533106,0.028197714
27061,0.592108161,0.111492958
27062,0.406342512,0.053272593
27063,0.60664238,0.062571823
27064,0.55891396,0.161661705
27065,0.266974256,0.061727366
27066,0.617196552,0.051021228
27067,0.672623229,0.374386821
27068,0.941095481,0.856740968
27069,0.936897773,0.562772664
27070,0.054524018,0.018465564
27071,0.061106518,0.046189682
27072,0.709385402,0.090225124
27073,0.809424103,0.027181222
27074,0.341124051,0.050296989
27075,0.867296123,0.721096266
27076,0.765322603,0.617665758
27077,0.126148844,0.058692808
27078,0.86536878,0.272600838
27079,0.929196174,0.289083928
27080,0.271586849,0.074037181
27081,0.749245006,0.023188021
27082,0.486665663,0.266302682
27083,0.199170889,0.054343849
27084,0.610968864,0.874412997
27085,0.015877097,0.036026319
27086,0.104624875,0.072295585
27087,0.321212675,0.199264318
27088,0.780152704,0.195821302
27089,0.260834995,0.21019611
27090,0.501264651,0.24408486
27091,0.108731884,0.540269195
27092,0.285407169,0.089055208
27093,0.319026264,0.232137105
27094,0.019983862,0.002403454
27095,0.449312737,0.065950312
27096,0.283580381,0.030935683
27097,0.714519908,0.605842072
27098,0.868287805,0.611874688
27099,0.515794302,0.167273744
27100,0.723393576,0.069617877
27101,0.625426044,0.095225385
27102,0.864011309,0.106047864
27103,0.050663707,0.007216506
27104,0.545859236,0.312043505
27105,0.303302616,0.016191876
27106,0.871327116,0.607633079
27107,0.740346596,0.481692423
27108,0.454364384,0.152611939
27109,0.26164409,0.088918354
27110,0.333004252,0.03784026
27111,0.367356869,0.047142172
27112,0.586234647,0.24338208
27113,0.347490822,0.104213235
27114,0.229319725,0.101315192
27115,0.875928098,0.608548385
27116,0.904019276,0.154935094
27117,0.111036582,0.066438352
27118,0.477913732,0.123133716
27119,0.354529849,0.055568042
27120,0.973076571,0.286052018
27121,0.760577512,0.019845694
27122,0.28525053,0.061484202
27123,0.134280168,0.075962887
27124,0.094245285,0.046401406
27125,0.031700026,0.009255701
27126,0.07739918,0.40049818
27127,0.089821768,0.034255377
27128,0.571430999,0.195204649
27129,0.70271938,0.618491543
27130,0.234098384,0.129868634
27131,0.074906764,0.054723997
27132,0.90108165,0.469239129
27133,0.654581726,0.127088195
27134,0.895522239,0.651659842
27135,0.671604478,0.222824746
27136,0.465478899,0.079566992
27137,0.287011941,0.08780964
27138,0.538702792,0.150730883
27139,0.118696295,0.121084012
27140,0.94796294,0.904499675
27141,0.836189498,0.620123519
27142,0.285458065,0.065325777
27143,0.507400633,0.2830949
27144,0.040993391,0.058557957
27145,0.730163793,0.561185229
27146,0.911374151,0.048271738
27147,0.279199093,0.052916265
27148,0.14230423,0.09164783
27149,0.167443351,0.273921785
27150,0.976412979,0.679571658
27151,0.736470491,0.156588974
27152,0.30409378,0.036118204
27153,0.770609748,0.282155574
27154,0.913019708,0.750603009
27155,0.630905548,0.177535837
27156,0.278912676,0.013581358
27157,0.494569967,0.013117067
27158,0.343815811,0.063857843
27159,0.213243248,0.050713885
27160,0.252952538,0.256075831
27161,0.490038855,0.27817987
27162,0.943660897,0.178285919
27163,0.371796151,0.427432207
27164,0.128901818,0.253647072
27165,0.565712646,0.542921768
27166,0.124232944,0.064827598
27167,0.507277099,0.128952648
27168,0.74002647,0.148597244
27169,0.725665295,0.442677099
27170,0.838070035,0.373918778
27171,0.30105295,0.048168044
27172,0.851734001,0.048200633
27173,0.607187157,0.284143804
27174,0.168110739,0.075262761
27175,0.176165992,0.059577533
27176,0.935875408,0.50682428
27177,0.954461543,0.800917494
27178,0.393168029,0.12514871
27179,0.197172347,0.075836612
27180,0.303984643,0.243931888
27181,0.79008863,0.037611057
27182,0.921187817,0.652715434
27183,0.497609344,0.042259562
27184,0.398825882,0.03988325
