respondent_id,xyz_vaccine,sesaonal_vaccine
26707,0.174538161,0.084834093
26708,0.13419843,0.130875651
26709,0.725013374,0.236483307
26710,0.811139391,0.827583548
26711,0.612960275,0.481876315
26712,0.975268668,0.711499068
26713,0.448396577,0.191042291
26714,0.149620005,0.116211075
26715,0.06696876,0.067331615
26716,0.940316358,0.138578933
26717,0.460598414,0.066981336
26718,0.576480749,0.167264077
26719,0.939996811,0.080079635
26720,0.219342578,0.049742909
26721,0.524071921,0.277052043
26722,0.081742456,0.086468311
26723,0.872267391,0.822078437
26724,0.768955297,0.056227732
26725,0.087866818,0.05191097
26726,0.08373654,0.078095887
26727,0.910520926,0.183969832
26728,0.683527568,0.238038011
26729,0.173996935,0.055784941
26730,0.171196728,0.065146318
26731,0.299255885,0.081976218
26732,0.101751639,0.115522298
26733,0.945172221,0.986158191
26734,0.610183987,0.873865446
26735,0.183105242,0.086839829
26736,0.110068523,0.085433089
26737,0.131786096,0.089071916
26738,0.852208779,0.830454186
26739,0.125644117,0.11519886
26740,0.119721217,0.139277863
26741,0.883172085,0.0567224
26742,0.428101368,0.153106513
26743,0.578534818,0.12146497
26744,0.645879308,0.035444578
26745,0.916402257,0.069788883
26746,0.310738264,0.137422482
26747,0.139170085,0.076346334
26748,0.091078999,0.097809313
26749,0.728938075,0.122472844
26750,0.90575777,0.737706511
26751,0.762731497,0.469180655
26752,0.112159009,0.151787786
26753,0.600369575,0.090822032
26754,0.486584544,0.094431171
26755,0.193626355,0.084329963
26756,0.101518155,0.10390422
26757,0.768401471,0.365723439
26758,0.832139575,0.690751513
26759,0.140067809,0.073305915
26760,0.112552332,0.099170964
26761,0.711878176,0.216996648
26762,0.870332918,0.148875703
26763,0.848862592,0.959827446
26764,0.911726062,0.989783571
26765,0.554478715,0.126217036
26766,0.101077555,0.110508681
26767,0.784371618,0.928235742
26768,0.421217832,0.036991345
26769,0.141837982,0.08584731
26770,0.57254802,0.046139772
26771,0.293094898,0.068148698
26772,0.370423333,0.102263587
26773,0.426968748,0.083205729
26774,0.402198638,0.087941135
26775,0.492801103,0.03487291
26776,0.598065305,0.391242096
26777,0.864949364,0.058998357
26778,0.06484064,0.100237071
26779,0.651996856,0.123513494
26780,0.883117765,0.07207375
26781,0.289760151,0.078404075
26782,0.380834205,0.089365923
26783,0.212533243,0.055644069
26784,0.912770074,0.219277407
26785,0.751903895,0.630687703
26786,0.128298067,0.040755066
26787,0.454761993,0.101338249
26788,0.850426038,0.03656696
26789,0.265872763,0.066064015
26790,0.19882285,0.061453202
26791,0.065529754,0.124442947
26792,0.761306341,0.05880608
26793,0.938615428,0.089658174
26794,0.886230622,0.825274159
26795,0.959779842,0.060360524
26796,0.052066562,0.091748101
26797,0.669640935,0.148633027
26798,0.16586721,0.149059039
26799,0.299371583,0.238281287
26800,0.940513908,0.059127763
26801,0.680249535,0.116036604
26802,0.1940256,0.127005086
26803,0.112353792,0.07502008
26804,0.067319078,0.143512812
26805,0.17165816,0.192633177
26806,0.943888497,0.03690746
26807,0.895137197,0.428165046
26808,0.479795776,0.074886958
26809,0.249023959,0.623738241
26810,0.0915628,0.115561625
26811,0.049437883,0.045120403
26812,0.912244896,0.158264492
26813,0.43319445,0.297745819
26814,0.635663571,0.057494253
26815,0.061854047,0.06457761
26816,0.077749532,0.064012389
26817,0.790404187,0.047655814
26818,0.271519907,0.1225736
26819,0.249782799,0.136262155
26820,0.11034577,0.09154653
26821,0.383586549,0.060044282
26822,0.745029288,0.079841328
26823,0.247876817,0.236888252
26824,0.82350284,0.04600054
26825,0.7518407,0.526984897
26826,0.667394619,0.056532855
26827,0.11283459,0.137365292
26828,0.656949982,0.102918206
26829,0.867501909,0.711703912
26830,0.84836336,0.048166457
26831,0.897696498,0.161455894
26832,0.836201869,0.019665904
26833,0.661421778,0.10946138
26834,0.474993153,0.174726918
26835,0.897606832,0.624961697
26836,0.530345276,0.161881972
26837,0.04891396,0.12536293
26838,0.489568158,0.105197722
26839,0.511864988,0.252644337
26840,0.124075919,0.113187179
26841,0.729605815,0.545214255
26842,0.13149517,0.108480419
26843,0.210760864,0.15917807
26844,0.431946356,0.06807212
26845,0.754255637,0.04023767
26846,0.795957621,0.066878313
26847,0.123270501,0.261718423
26848,0.739881763,0.045159858
26849,0.587893466,0.148478002
26850,0.639436566,0.716825156
26851,0.101368286,0.115588801
26852,0.117118695,0.104323335
26853,0.5,0.206732318
26854,0.112764166,0.049555367
26855,0.889374747,0.335152372
26856,0.032632601,0.09582643
26857,0.276890019,0.343143358
26858,0.686524027,0.064266752
26859,0.102302965,0.052482352
26860,0.160077147,0.128801726
26861,0.113760314,0.082282593
26862,0.168326486,0.049036024
26863,0.401032902,0.079367465
26864,0.251670088,0.31323489
26865,0.090041018,0.110447664
26866,0.695422654,0.068419547
26867,0.108288753,0.152391049
26868,0.918601653,0.959079456
